enddate,yield
20201102,0.03150000
20201103,0.03150000
20201104,0.03150200
20201105,0.03140000
20201106,0.03140800
20201109,0.03130000
20201110,0.03140000
20201111,0.03145000
20201112,0.03170200
20201113,0.03170000
20201116,0.03175000
20201117,0.03190200
20201118,0.03210000
20201119,0.03270100
20201120,0.03280000
20201123,0.03280100
20201124,0.03250000
20201125,0.03280000
20201126,0.03300000
20201127,0.03310000
20201130,0.03250000
20201201,0.03190300
20201202,0.03190000
20201203,0.03210400
20201204,0.03230000
20201207,0.03240000
20201208,0.03234200
20201209,0.03200000
20201210,0.03100000
20201211,0.03115000
20201214,0.03120000
20201215,0.02980000
20201216,0.02950000
20201217,0.02940000
20201218,0.02960000
20201221,0.02960000
20201222,0.02960000
20201223,0.02945000
20201224,0.02940000
20201225,0.02930000
20201228,0.02920000
20201229,0.02940000
20201230,0.02900000
20201231,0.02850000
20210104,0.02830000
20210105,0.02840000
20210106,0.02800000
20210107,0.02740000
20210108,0.02740000
20210111,0.02776700
20210112,0.02780000
20210113,0.02770000
20210114,0.02740000
20210115,0.02760000
20210118,0.02810100
20210119,0.02830000
20210120,0.02820000
20210121,0.02840000
20210122,0.02850000
20210125,0.02895000
20210126,0.02920000
20210127,0.02970000
20210128,0.03050000
20210129,0.03080000
20210201,0.02980000
20210202,0.02980000
20210203,0.03010000
20210204,0.03050000
20210205,0.03080000
20210207,0.03080000
20210208,0.03075000
20210209,0.03060000
20210210,0.03030000
20210218,0.03070000
20210219,0.03071900
20210220,0.03080000
20210222,0.03120100
20210223,0.03120000
20210224,0.03110000
20210225,0.03100000
20210226,0.03090000
20210301,0.03100000
20210302,0.03095000
20210303,0.03080000
20210304,0.03085000
20210305,0.03090000
20210308,0.03095000
20210309,0.03095000
20210310,0.03090000
20210311,0.03125000
20210312,0.03110000
20210315,0.03115000
20210316,0.03110000
20210317,0.03072500
20210318,0.03060000
20210319,0.03035000
20210322,0.03035000
20210323,0.03030000
20210324,0.03010000
20210325,0.03030000
20210326,0.03040000
20210329,0.03060000
20210330,0.03045000
20210331,0.03040000
20210401,0.03020000
20210402,0.03010000
20210406,0.03005000
20210407,0.03030000
20210408,0.03035000
20210409,0.03025000
20210412,0.03030000
20210413,0.02990000
20210414,0.02990000
20210415,0.02990000
20210416,0.02990000
20210419,0.02995000
20210420,0.02980000
20210421,0.02955000
20210422,0.02950000
20210423,0.02935000
20210425,0.02955000
20210426,0.02955000
20210427,0.02950000
20210428,0.02935000
20210429,0.02900000
20210430,0.02905000
20210506,0.02900000
20210507,0.02895000
20210508,0.02885000
20210510,0.02890000
20210511,0.02880000
20210512,0.02870000
20210513,0.02890000
20210514,0.02885000
20210517,0.02902500
20210518,0.02910000
20210519,0.02890000
20210520,0.02885000
20210521,0.02865000
20210524,0.02865000
20210525,0.02875000
20210526,0.02860000
20210527,0.02860000
20210528,0.02870000
20210531,0.02867500
20210601,0.02847500
20210602,0.02835000
20210603,0.02820000
20210604,0.02820000
20210607,0.02870000
20210608,0.02865000
20210609,0.02865000
20210610,0.02860000
20210611,0.02860000
20210615,0.02885000
20210616,0.02905000
20210617,0.02920000
20210618,0.02920000
20210621,0.02920000
20210622,0.02920000
20210623,0.02900000
20210624,0.02865000
20210625,0.02870000
20210628,0.02885000
20210629,0.02900000
20210630,0.02850000
20210701,0.02830000
20210702,0.02835000
20210705,0.02825000
20210706,0.02832500
20210707,0.02820000
20210708,0.02770000
20210709,0.02810000
20210712,0.02765000
20210713,0.02725000
20210714,0.02700000
20210715,0.02725000
20210716,0.02730000
20210719,0.02730000
20210720,0.02735000
20210721,0.02735000
20210722,0.02730000
20210723,0.02722500
20210726,0.02710000
20210727,0.02720000
20210728,0.02725000
20210729,0.02710000
20210730,0.02695000
20210802,0.02660000
20210803,0.02660000
20210804,0.02670000
20210805,0.02645000
20210806,0.02640000
20210809,0.02660000
20210810,0.02670000
20210811,0.02650000
20210812,0.02655000
20210813,0.02665000
20210816,0.02665000
20210817,0.02670000
20210818,0.02660000
20210819,0.02655000
20210820,0.02650000
20210823,0.02660000
20210824,0.02660000
20210825,0.02655000
20210826,0.02670000
20210827,0.02670000
20210830,0.02670000
20210831,0.02670000
20210901,0.02660000
20210902,0.02662500
20210903,0.02660000
20210906,0.02660000
20210907,0.02660000
20210908,0.02665000
20210909,0.02670000
20210910,0.02680000
20210913,0.02690000
20210914,0.02720000
20210915,0.02690000
20210916,0.02705000
20210917,0.02705000
20210918,0.02710000
20210922,0.02710000
20210923,0.02715000
20210924,0.02730000
20210926,0.02740000
20210927,0.02770000
20210928,0.02770000
20210929,0.02710000
20210930,0.02680000
20211008,0.02690000
20211009,0.02680000
20211011,0.02690000
20211012,0.02695000
20211013,0.02700000
20211014,0.02720000
20211015,0.02720000
20211018,0.02730000
20211019,0.02760000
20211020,0.02780000
20211021,0.02785000
20211022,0.02760000
20211025,0.02780000
