stat_date,is_trade,next_trade_date,last_trade_date,is_week_end,is_month_end,is_quarter_end,is_year_end,trade_day_rank
20201101,0,20201102,20201030,0,0,0,0,0
20201102,1,20201103,20201030,0,0,0,0,7299
20201103,1,20201104,20201102,0,0,0,0,7300
20201104,1,20201105,20201103,0,0,0,0,7301
20201105,1,20201106,20201104,0,0,0,0,7302
20201106,1,20201109,20201105,1,0,0,0,7303
20201107,0,20201109,20201106,0,0,0,0,0
20201108,0,20201109,20201106,0,0,0,0,0
20201109,1,20201110,20201106,0,0,0,0,7304
20201110,1,20201111,20201109,0,0,0,0,7305
20201111,1,20201112,20201110,0,0,0,0,7306
20201112,1,20201113,20201111,0,0,0,0,7307
20201113,1,20201116,20201112,1,0,0,0,7308
20201114,0,20201116,20201113,0,0,0,0,0
20201115,0,20201116,20201113,0,0,0,0,0
20201116,1,20201117,20201113,0,0,0,0,7309
20201117,1,20201118,20201116,0,0,0,0,7310
20201118,1,20201119,20201117,0,0,0,0,7311
20201119,1,20201120,20201118,0,0,0,0,7312
20201120,1,20201123,20201119,1,0,0,0,7313
20201121,0,20201123,20201120,0,0,0,0,0
20201122,0,20201123,20201120,0,0,0,0,0
20201123,1,20201124,20201120,0,0,0,0,7314
20201124,1,20201125,20201123,0,0,0,0,7315
20201125,1,20201126,20201124,0,0,0,0,7316
20201126,1,20201127,20201125,0,0,0,0,7317
20201127,1,20201130,20201126,1,0,0,0,7318
20201128,0,20201130,20201127,0,0,0,0,0
20201129,0,20201130,20201127,0,0,0,0,0
20201130,1,20201201,20201127,0,1,0,0,7319
20201201,1,20201202,20201130,0,0,0,0,7320
20201202,1,20201203,20201201,0,0,0,0,7321
20201203,1,20201204,20201202,0,0,0,0,7322
20201204,1,20201207,20201203,1,0,0,0,7323
20201205,0,20201207,20201204,0,0,0,0,0
20201206,0,20201207,20201204,0,0,0,0,0
20201207,1,20201208,20201204,0,0,0,0,7324
20201208,1,20201209,20201207,0,0,0,0,7325
20201209,1,20201210,20201208,0,0,0,0,7326
20201210,1,20201211,20201209,0,0,0,0,7327
20201211,1,20201214,20201210,1,0,0,0,7328
20201212,0,20201214,20201211,0,0,0,0,0
20201213,0,20201214,20201211,0,0,0,0,0
20201214,1,20201215,20201211,0,0,0,0,7329
20201215,1,20201216,20201214,0,0,0,0,7330
